Probes,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G114,G117,G119,G120,G126,G128,G130,G302,G303,G304,G305,G306,G311,G313,G314,G315,G317,G322,G324,G332,G336,G337,G347,G358
BCKDHA,0.501126405,-0.35793323,-0.695896651,-0.537490354,0.172764387,0.32670125,-0.062460638,-0.435946724,-0.185570008,-1.120851147,-0.581483344,0.296117626,0.61848034,-1.026412089,-0.595905101,-0.521212948,-1.73528508,-0.339415643,-1.758691811,-0.251665202,-0.192934115,-0.165425834,0.613343219,-0.188834394,-0.968553136,-0.702876187,-0.319715525,0.438732641,-0.803671348,-1.436521194,-0.73876587,-0.604848704,-0.295391831,-1.494517597
BCL7B,0.7705265,1.010923324,0.406887478,0.43334233,0.162660904,0.547007518,-0.279760256,0.108026141,0.730322591,-0.29877034,0.372157339,0.481537215,0.561983983,-0.920435862,0.018660258,-1.07346623,-1.159046808,-0.153083986,-1.039413889,0.233701794,0.919107843,0.065453107,0.433663807,0.376047466,0.443106956,-0.420154635,1.083593954,0.33269329,-0.808481165,0.272284667,-0.051713675,0.476685828,-0.324600685,-0.385871612
BNIP1,0.878158949,-0.000657796,0.198812947,-0.727006442,0.239047655,0.09330074,-0.721599838,-0.736704046,0.374456771,-0.571045068,-0.382499715,0.573284953,0.707880508,-0.464616946,0.111896514,-0.388620217,-0.449648918,0.839069894,-0.920566286,0.395700839,-0.241341411,-0.122238097,0.098826451,0.354970997,-0.115786391,-0.199985526,0.09242612,-0.060192819,-1.01418101,0.40089712,-0.873897711,0.574377447,-0.004841856,-0.350451999
BRD4,-0.768226038,-0.04800477,-0.191221914,0.391644498,0.985778968,-0.377256275,0.560286915,0.45161654,-0.453628976,0.753385268,0.709859508,-0.299087425,-0.389553691,0.597547282,0.811666252,0.559545045,1.714151847,0.160865819,1.292758757,-0.051581576,-0.146840717,-0.114898848,-0.724825886,-0.61141054,0.140966271,0.082997237,0.728218241,0.395081195,1.564206813,1.752974755,0.283931316,0.718723556,0.811391391,0.717531692
BTD,-0.623899096,-0.08776997,-0.287237372,-0.705498845,-0.640102598,-0.493476176,-0.237383805,-0.669904161,-0.30598639,-0.089703386,-0.419620768,-0.202906838,-0.10216827,-0.164194251,-0.866767181,-0.425111127,0.092876338,-0.906767108,0.311234206,-0.581229109,-0.057133829,0.337240573,-0.279672573,-0.179271164,-0.316354779,-0.027824655,-0.792913963,-0.506275107,-0.631605661,-0.808966524,-0.296028164,-0.364179908,-0.698027947,0.087734154
BTG1,-0.762739225,-0.983169829,-0.373574737,-0.330930325,-0.966967569,0.059615052,-0.192602807,-0.06698039,-0.348711262,1.020268282,-0.13687705,-1.105699225,-0.755096531,-0.13555069,-0.675041834,0.065371548,0.034745563,-0.228376444,-0.008609411,-0.299837984,-0.37346696,-1.031464669,-0.799239874,-0.204591128,0.866128366,0.12471349,-0.199074275,-0.496527357,0.30346037,0.027521907,0.12748485,-0.13587801,-0.250229949,0.707379666
BUB1B,-0.204974339,0.202743333,-1.26630809,0.970235545,0.168012613,1.14495407,-0.198888005,0.382054142,0.383904162,2.04986272,0.377617982,-0.167916215,-0.151492831,-0.440366769,0.47089732,1.362860143,1.957968536,0.35042236,0.388875854,0.382024079,-0.642221059,-0.455895136,-0.666389772,0.645382367,0.168808508,0.150583988,-0.425447832,-0.884768309,-0.423673973,1.676267916,1.836496197,1.436195401,0.299661709,0.813587167
C11orf30,-1.167032514,-0.5275073,-0.316388276,-0.192905042,0.139590647,-0.750768804,0.313370569,-0.15971842,-0.822089142,1.116308478,0.733680263,-0.829491503,-0.187278872,0.423003744,0.726211847,0.425192323,1.277440797,0.028721113,1.242601542,-0.634959279,-0.110339065,-0.346627135,-0.489969986,0.233237546,0.610457285,0.599776478,0.366091074,-0.595872023,0.887048144,1.052873858,-0.392652649,0.03552264,-0.319642977,0.512356212
C12orf42,-0.097408178,-2.740863695,0.548803308,-3.545743971,0.803993358,-0.935527876,-1.979368686,-1.775646556,-0.150933895,-2.100391757,-1.899693124,-1.344011609,0.349942346,-0.610901631,-1.007304235,0.104406232,-1.672631748,-0.600975922,-2.996358535,-0.496668654,-0.08162339,-0.015617424,-0.908813665,-0.740253013,1.630950198,-1.26290966,-1.028227927,0.291231905,-3.141837178,-1.220311707,-2.46391537,-0.539670089,-1.296711312,-0.23452585
C16orf52,-0.50538679,-0.753093498,-0.63280591,-1.077472218,-1.310722437,-0.478223319,-0.221138359,-0.967732674,-0.369766761,-0.039897684,-0.122851633,-0.188370239,-0.786361685,-0.420220445,-0.582865213,-0.05862395,-0.204549198,-0.132303208,0.491410076,-0.580412277,-0.213786177,0.379682327,-0.200336088,0.008982828,-0.54200397,0.098526448,-0.942354188,-0.422437908,-0.182931561,-0.345714538,-1.231845743,-0.567158822,-0.350595023,0.216954033
C16orf80,-0.582452209,-1.250253959,-0.198614368,-1.456470818,0.202040147,-0.450259633,-1.111600574,-0.820083475,-0.600840106,-0.319599294,0.037144906,-0.381102139,-0.728771666,0.040435275,-0.648718695,-0.858786579,-1.037528288,-0.140327262,-1.100562982,-0.859713811,-0.191868745,-1.039496792,-0.292703444,-0.336633129,0.057555411,-0.703892892,-0.561990393,-0.44812246,-1.492731395,-1.288020001,-0.607970519,0.262424216,-1.116370712,-1.075684793
C17orf79,0.696504076,-0.199367494,0.040863938,-1.742714421,0.172910592,-0.614332811,-1.017905127,0.514325208,0.629928064,-1.142152871,0.203132374,-0.159624247,-0.263725793,-0.166537735,-0.76590933,-1.750800577,-1.937410445,0.049309236,-0.541746537,-1.407927205,0.129528144,0.257609511,0.306218451,-0.101449899,0.291208143,-1.086451008,0.220616634,-0.009924073,-0.414080026,-0.788831688,-1.026256819,0.197322655,-0.082998514,-0.605006431
C18orf8,0.921937723,0.126986297,0.328224731,0.365842487,0.418580001,0.761883203,0.117702443,0.420788795,0.19821049,0.285719197,0.073628019,0.732058252,0.660062633,0.087920014,0.336919227,0.738336101,-0.170077234,0.042889998,-0.468782463,0.446687084,0.582307471,-0.500629698,-0.007175418,0.437968136,-0.027135341,0.34642968,0.959999067,1.133252961,-0.780232723,0.431422776,0.482896144,1.269684486,-0.131273096,0.443387155
C1orf52,1.630937494,0.038149944,0.021291699,0.710631436,0.344448401,0.66361807,0.344537743,0.31829654,0.593688589,-0.156518211,0.2135783,0.511756262,0.556565608,0.125725784,0.211668078,0.178230256,-0.578407398,0.842251249,-0.838330759,0.480340848,0.053348178,-0.253657315,0.300824367,0.545257891,0.338298184,0.027940328,0.721407946,0.715496132,0.211607484,-0.435868199,0.770947486,0.431193899,0.603503521,0.265995331
C20orf111,0.229576297,0.292239619,0.135456634,0.456770586,-0.343602763,0.381239624,0.18251622,0.709506133,0.221450536,-0.502234579,0.304356828,-1.20160617,1.238825128,0.166185653,0.392579586,-0.11647493,0.601195879,-0.208129544,-0.066673718,0.688242628,0.034495907,-0.566275138,0.079385919,1.853074719,-0.924870176,0.129721918,0.276289028,0.095342727,1.470474668,0.804799942,-0.082584241,2.016988779,-0.118244965,0.219440224
C2CD2L,0.487763726,0.340206407,0.861920265,-0.536379818,0.63330646,0.574142142,-0.143654025,0.8898723,0.122649041,-0.288699632,0.991007083,0.352130249,0.266323678,-0.258275871,0.680199577,0.924169753,-0.372045367,0.18147377,0.565704186,0.494898194,0.267871886,-0.699936109,0.269653216,0.804216648,-0.059740388,0.291186079,0.126908069,0.830667511,-0.309903352,0.351500932,0.15567527,0.45724845,-0.59124582,0.116464607
C7orf61,-0.445463322,-1.474544999,-1.721661011,0.389368449,0.904058482,-0.56957351,2.34862152,-0.550349637,0.02689505,1.956063967,-0.27672477,-1.543368558,0.881289844,1.316463215,0,-0.560839081,1.820210297,-0.947472226,0.754251303,-1.198723611,-1.499374712,1.580061946,-1.379282641,0.496304399,-0.415105567,-1.241199976,1.155886876,-0.571674698,1.660115204,1.646706357,0.010717137,-1.384339055,0.29568245,-0.949016611
