Probes,G104,G108,G109,G110,G113,G117,G123,G126,G128,G132,G133,G134,G135,G136,G139,G142,G144,G302,G303,G304,G306,G310,G316,G319,G328,G332,G337,G356,G358,G359,G360,G362,G363,G367,G373,G374,G375,G382,G383,G385,G386,G387,G390,G397
IL-12B,0.079629,0.148658,0.038639,0.168036,3.473839,-0.017078,0.20835,0.312968,0.400136,-0.020803,-0.081865,-0.019268,3.387048,0.016042,-0.016421,0.034519,0.235688,-0.05552,0.040962,3.627608,-0.010988,0.052474,-0.104102,0.137966,3.497813,0.151215,0.380361,3.337732,0.484276,3.387909,0.025436,0.043549,0.043388,3.318333,-0.160519,0.177266,0.077793,0.037665,0.129391,0.027689,0.162143,0.043211,-3.298863,0.135214
IL12RB1,0.467763,-0.117897,3.601054,-2.895083,0.286709,0.149256,0.33935,-0.004163,0.699518,-0.222263,0.030929,-0.014224,-0.202734,-0.371788,0.438036,-0.202162,0.097866,-0.138505,0.204552,0.194058,0.006884,-0.106544,-6.150724,0.281427,-0.139848,3.906226,7.152847,-0.394673,-3.396212,-3.040918,-3.71919,0.050014,0.015178,0.138166,3.592866,-0.044047,-0.203104,3.389771,0.100798,-0.044384,2.968075,-3.855219,0.133031,-0.236918
IL18,-0.038962,-0.015749,-0.151903,-6.638267,0.027923,-0.012295,-3.322709,0.179586,0.005385,-3.34926,-3.381992,-0.010705,-3.227313,-0.058228,-3.191495,-0.023158,0.096701,-0.017495,-0.008095,0.099309,-0.109632,-0.091322,-0.098267,0.080997,3.41177,0.085651,0.067456,-0.010501,0.026927,-0.011906,-3.362467,0.048525,0.043163,-0.055813,-0.107327,-3.226734,0.046793,-3.417657,-3.259417,0.024707,0.066838,-3.263038,3.335055,-3.197184
IL-18R1,-0.036069,6.651346,-0.099152,0.008418,0.048733,0.010439,0.00899,0.209172,-3.299437,-0.021708,-0.019905,-0.018446,0.087136,-0.046315,0.075782,-0.026041,0.085041,-0.018129,0.016764,-3.23303,-0.095021,3.289715,-0.104376,0.079885,0.107079,0.085054,-3.208253,0.030064,0.095025,-0.002929,0.009342,0.052327,0.011469,3.283299,-0.117649,0.075799,0.019103,6.564752,0.043744,0.013888,-3.248091,0.060303,-0.033503,0.091876
IL6,1.336649,0.970056,-0.765075,1.264375,0.192831,4.352589,0.244141,1.063671,0.31485,0.684205,3.182874,4.032352,0.408694,-3.168517,-0.561855,0.350981,-0.577163,0.633364,1.088496,1.649524,0.237501,0.016004,4.749811,4.892487,5.157253,1.267464,4.671298,0.532224,1.157626,5.08575,1.360826,0.279471,0.117566,0.328367,0.334965,0.138258,4.001944,0.425585,0.774484,0.712597,-2.967937,-0.027007,0.286102,0.33852
IL7,-0.067187,0.090805,-0.263573,3.654648,3.209303,-0.286838,0.714683,0.310165,-0.655326,0.014446,0.449116,-0.559998,0.06103,-3.821684,0.332189,-0.365651,-0.046103,-0.210686,3.0926,-0.071522,-2.974349,-0.383073,-0.053008,0.229051,0.712283,0.609492,-2.712494,0.053941,-0.307868,-0.439299,-0.366814,0.242173,0.097864,-0.860961,-0.253003,-0.569621,-0.751751,-0.919481,0.257098,0.694527,-0.330354,8.412205,0.096925,7.479207
IL8,-0.044214,-0.070723,0.163707,-3.431013,0.125997,-3.280278,-0.185787,0.032595,-0.305968,-0.100013,0.415433,-0.301764,3.347715,-0.163711,-0.268717,-0.14689,-0.42381,0.016554,0.029362,-0.009055,0.177795,-0.133817,3.455939,0.033821,0.313613,-0.037946,0.135716,0.140597,-3.078411,-3.093551,0.459567,-0.310493,0.29456,-0.132427,-0.269919,-0.196024,0.248839,2.959311,0.532302,-0.098755,-0.784245,-0.197836,-3.645409,0.208498
IRAK1,-4.201537,6.744304,1.017573,-11.08016,-1.454582,-0.322198,-1.888555,-1.891523,-5.997334,2.980483,0.639741,-1.595712,0.698022,1.163093,-0.035946,-7.426477,-1.345638,0.059239,0.421521,-6.164061,8.76564,-0.993787,0.819996,0.579366,-0.069837,-10.677368,0.820083,0.473078,0.378065,-5.930018,-8.320341,-9.309665,-3.9442,-3.693447,-7.505178,7.949115,0.621003,-3.099289,6.135954,0.075748,-0.536484,-0.088316,9.152108,1.568407
IRAK4,-0.010572,0.003748,0.739381,-8.590613,2.664232,-0.494705,-0.124946,-8.065763,-7.831595,7.909052,1.098418,-0.350797,0.194751,0.192484,0.047644,-1.008552,-8.306085,-0.220575,0.324713,-8.941119,4.898367,-4.575289,7.029073,7.953538,-3.21303,-9.129243,-0.013646,0.125154,0.521386,-8.646901,-0.954106,-4.630462,-1.105139,-4.286844,-0.283476,0.17804,1.113913,-8.716912,9.019182,-2.93637,2.595501,0.056912,8.544664,0.0
IRF9,-0.096806,0.601965,1.411412,-4.087686,-0.590917,-0.032769,-0.220574,-7.293817,-7.966056,1.187746,-2.255434,-0.784942,-6.913452,-0.680124,3.7954,-0.455172,-8.607695,0.528267,3.933379,-0.289679,0.997378,-0.610419,0.767316,0.225975,3.092518,-0.599526,0.167541,3.355094,0.227986,-4.360125,-7.521969,-1.123026,-0.223236,-7.490467,-0.896459,1.351751,0.098746,-7.460391,1.763572,0.665089,-0.119506,-0.703365,1.314657,-0.566667
ITGA11,-0.043913,-0.105594,-0.141869,0.037415,0.314207,0.008826,3.275631,-0.087068,-0.117817,-0.042309,-0.011628,-0.0916,-0.08838,0.008097,0.264412,-6.577852,3.237501,-0.060654,0.128415,3.342907,3.163392,-0.004731,-0.047677,0.007131,0.121661,6.708443,3.51818,-0.050158,-0.039497,-0.021851,-0.049489,-0.121291,-0.01551,-0.125061,-0.12042,-0.097549,-0.054316,-0.27539,-0.250331,0.055099,-0.056482,0.210539,-0.01239,0.155884
ITGB6,3.223822,-0.105284,0.046106,0.002196,-0.017743,-0.069343,3.25708,-0.136964,-0.074464,-0.105518,-0.085401,-0.032064,-0.030322,-0.07517,0.011238,-0.103496,-3.111677,-0.28155,0.011959,-0.059893,0.131367,-0.399427,-3.313055,3.445325,0.07569,0.03503,0.109017,-0.141684,-6.749849,-0.002147,-0.307526,0.020918,3.389821,0.000749,0.255373,3.129845,-0.163966,0.127436,-0.219419,0.032554,-0.173294,0.001385,0.034686,-0.005959
ITGB7,-0.214304,-0.184717,0.674367,0.031678,-0.078494,-0.081504,0.138706,0.00897,-0.163441,3.427026,0.01413,3.592108,-0.164751,-3.419918,3.518767,0.253446,-3.519454,3.117393,0.008137,-0.30694,0.057149,-0.010181,0.072108,3.19236,-0.123517,-0.150237,-3.244869,-0.172152,0.122014,-0.148887,0.009647,-0.270448,0.175995,-0.214552,0.022959,-3.324333,-0.053667,0.1076,-0.105442,0.068725,0.068406,-0.432487,1.430305,-0.034058
