Probes,G104,G108,G109,G110,G112,G113,G117,G123,G126,G128,G132,G133,G134,G135,G136,G139,G142,G144,G302,G303,G304,G306,G310,G316,G319,G328,G332,G337,G356,G358,G359,G360,G362,G363,G367,G368,G373,G374,G375,G379,G382,G383,G385,G386,G387,G390,G391,G395,G397
FGF23,0.22597,-0.307075,0.036651,-5.892197,-1.143388,0.751234,0.540014,0.308649,0.67092,-0.039909,0.416122,-0.046843,-0.620516,-6.218399,0.364907,0.54152,-0.400274,0.524049,0.066229,0.099653,-0.14692,0.302216,0.580938,0.034816,0.297344,0.184064,0.087669,0.576026,0.06954,0.374638,-0.110884,-1.030957,-2.803934,-6.883345,0.066037,-0.101148,-0.335373,0.517133,0.012958,3.736175,-2.914279,0.266337,0.729175,0.059293,3.588971,0.049632,-3.06509,2.887544,0.712478
TWEAK,6.620729,-0.061078,-0.095753,-0.053811,3.312712,0.018724,0.009819,0.040426,0.008076,-0.049726,0.021438,0.027444,-3.340651,-0.098751,-0.08308,-0.071845,0.101383,0.058091,-0.11544,0.016139,-0.010435,-0.020193,-0.077163,-0.022584,-0.046774,-0.009938,-6.638704,0.138837,-0.057921,0.023292,-0.139888,-0.029916,-0.110084,0.085411,0.01061,-0.049535,0.040662,0.014109,0.09329,0.008307,-0.07274,-0.006427,-3.375556,-0.01005,-0.217854,-0.032572,-0.040423,-0.067812,0.091782
OSM,3.364069,-0.470766,-0.21409,0.12334,-2.793475,-0.388894,2.737546,-0.355325,0.214505,-0.997926,-3.381972,-0.614021,-0.08262,0.135968,-0.233938,-0.781018,-0.794157,-0.361685,-0.038877,0.597439,-1.089358,2.739927,-0.224625,-0.729937,4.189941,-0.245983,-0.265233,-3.18651,-0.685257,-0.610325,-0.625167,-0.159305,-0.132529,-0.957002,0.045376,-3.264325,-0.351196,-0.813184,-0.023351,-3.369558,-0.161843,-0.960246,3.164546,0.136925,-0.012833,-0.55678,-0.461246,3.410586,0.310374
MCP3,-2.594408,0.411469,-6.340461,-3.031406,-2.858297,0.0,0.143718,-2.892786,0.104577,-0.250144,3.091754,0.105874,0.808899,0.339547,0.454979,-0.374699,-0.233941,-7.373453,0.171097,0.354443,0.398061,0.22375,-0.150523,0.0,-2.851174,0.634168,-2.914466,0.361026,0.140469,0.394258,-2.585784,0.151899,3.003452,0.653543,-0.150708,0.239364,-0.056054,0.353817,3.177668,-2.813629,0.412879,0.340225,0.385421,-0.11342,3.313635,-0.213652,-2.848394,0.304791,0.522603
FGF-21,-0.059971,0.086911,3.50381,-0.44616,-1.470653,-0.397246,1.406885,-0.104705,0.042141,0.059655,2.592165,6.701155,0.181391,0.431273,-3.252683,-0.772634,-0.441212,0.360105,-4.182204,0.892579,3.132885,0.481991,-0.302031,-3.630249,0.028569,0.350449,0.703434,-2.403558,-0.026313,0.197695,3.525942,-0.96325,-1.713179,-0.127243,0.917284,-0.200425,0.245832,2.706256,0.149876,0.796135,0.245239,-0.445963,0.304358,0.123097,0.290406,-0.307898,3.218088,0.267737,0.865715
CXCL9,0.128363,0.007633,0.102338,0.0728,0.360362,0.192189,6.000753,0.159233,-2.922137,-0.070429,3.48828,0.077079,-0.003377,0.181518,0.088916,0.08235,-0.099058,0.208743,0.031158,3.437115,-0.271441,-6.625347,3.564177,3.185549,-3.527595,3.419337,0.408921,-0.023979,-0.004803,-2.985995,3.307536,-3.526645,0.066166,0.080665,3.279883,0.135006,0.041238,0.017398,0.065015,0.066459,-9.289021,-9.675467,0.101176,-6.533239,0.114503,-0.038049,0.245539,0.048678,0.269463
OPG,0.070357,-0.057072,-0.015952,0.053144,0.081821,-3.22104,0.038895,0.065715,-3.258629,-0.044437,3.328846,0.138491,-0.06277,0.051027,-9.875362,-0.001237,-0.040822,-9.931902,3.327678,0.045691,0.054645,0.019991,0.025404,0.036727,0.016023,0.096481,0.097002,-6.515486,-3.260939,0.083115,0.020325,3.193308,-0.02262,0.105873,0.076878,0.058654,0.07284,0.0146,-0.079771,9.881268,0.037502,-3.31207,-9.819665,-9.862765,9.877972,-0.087041,0.019121,0.028868,6.763808
IL18,-6.579867,-0.011244,0.089541,0.078119,-0.061726,0.079819,0.094847,0.069778,0.287648,-3.368538,0.151179,0.016071,-0.053044,0.147101,0.091506,0.06328,-0.122913,0.052105,0.023976,-3.160517,-0.02538,-0.019796,-0.082819,0.137778,0.211105,3.409512,0.218552,0.0234,0.028751,0.14639,-0.025092,-0.184395,0.058237,-6.616827,0.012559,0.162657,-0.016809,-3.29559,-0.004754,0.155791,0.070835,0.116373,0.103606,0.053663,0.083263,3.282455,-3.254756,-0.023725,0.161499
IL-12B,0.260954,-3.09864,-3.098834,0.185891,0.02788,3.727054,-0.000786,0.341653,0.530615,-0.078802,0.232505,-3.120534,0.141021,3.451039,0.152759,0.188545,0.047089,0.318848,0.085656,0.184518,3.209693,0.264838,0.178691,0.05251,-2.667681,3.625662,0.429535,-0.099486,3.340831,0.187118,3.483417,-0.081069,0.42931,0.208321,3.316178,0.225434,0.342433,0.197736,0.167736,0.282573,0.241089,0.207451,0.164847,0.320274,-3.176071,-0.006834,-3.019886,0.159388,0.365339
RANKL,-0.025839,0.115357,-0.28216,-0.211268,0.171478,-3.291427,-0.511034,0.240953,0.568652,-0.039029,-0.422553,0.208714,0.115263,3.525442,-0.103288,-0.007326,-3.875349,-0.108313,-3.069057,0.079476,-2.684327,0.18088,0.164602,-1.206979,0.452722,-0.111592,0.126019,-0.266024,-0.281659,-0.21127,0.0273,6.104183,-0.227612,0.050201,-3.554316,0.106932,2.99287,-0.027539,-3.43236,0.192897,-3.339764,-0.078712,0.144333,0.19644,0.087102,-0.096309,-0.088304,-3.550372,0.093663
CDCP1,0.093371,0.104972,0.090211,0.587986,0.71275,3.634378,-0.023299,0.492897,0.367165,-0.071235,-0.291208,0.667327,-0.448824,0.616071,-0.040605,-0.521563,0.145387,-0.846784,-3.267326,-2.645053,0.24957,0.150791,-0.223939,0.21,-3.29742,8.399237,0.502044,1.17334,0.053715,-6.402652,0.225337,0.125095,-0.108472,-0.010644,-0.217534,0.602597,-2.585233,3.285667,-0.244642,0.935394,3.386766,0.439684,-0.173279,-0.367448,-0.197004,0.398693,0.490559,3.284238,0.530973
MMP-10,0.065754,-0.161126,-0.153751,-2.939887,0.11783,0.135878,-0.311162,-0.292152,0.155035,0.013613,0.010819,0.03345,-0.141982,0.158609,0.060366,-0.036483,-0.220617,0.019102,-0.091095,3.400295,3.296299,2.827557,0.133518,0.341173,0.021196,0.038482,-0.034206,0.096034,0.164053,-0.062389,0.070602,-0.256744,-0.02968,-0.016667,-0.01162,-0.016219,-0.111194,-0.059246,-0.114401,-3.261774,3.49362,-3.409379,0.190779,-0.03101,-0.007125,-0.047732,0.003866,-0.143981,0.20225
