Probes,G103,G104,G108,G110,G111,G114,G119,G120,G124,G126,G130,G134,G301,G303,G305,G310,G313,G314,G315,G317,G318,G322,G323,G325,G328,G332,G337,G338,G355,G366
hsa_piR_011187_DQ585094,-0.8341,3.53611,-0.594508,0.185681,-0.552479,-0.670605,4.913002,0.244543,0.521614,0.231626,1.896247,4.844687,-3.889246,-0.305273,-1.150009,-1.045935,-0.582028,-0.484562,-3.743012,-0.619229,-0.30773,2.625731,3.401142,4.475866,-0.084031,1.629274,3.708289,-0.00211,1.470021,5.919997
hsa_piR_011188_DQ585095,-2.156028,-1.386722,-0.459578,0.863753,3.447521,-0.670605,-0.036372,2.775057,1.019114,4.319089,0.915356,1.259724,-1.081892,1.694727,-0.463509,-1.056835,-2.903956,-1.391452,-3.598622,-0.789154,1.992665,2.170052,0.856821,0.431471,-0.190902,4.951202,-0.461636,1.526268,-0.975588,3.970624
hsa_piR_011291_DQ585247,-0.8341,-4.251792,0.22492,-4.901782,4.091377,-0.670605,-0.933881,0.759116,0.078008,4.038981,-4.191216,-0.657814,-1.889246,-0.305273,-0.283276,-0.667423,-0.582028,2.711835,0.649305,-0.619229,-0.30773,-5.244633,-0.821251,0.711579,2.868663,0.044312,-1.268991,-0.00211,0.893828,-0.080003
hsa_piR_011421_DQ585429,-1.963383,-0.164329,-1.709985,-0.92568,-5.596873,5.83719,5.082927,-0.263252,0.521614,-5.41223,6.419809,2.259724,2.918108,-0.442777,-1.150009,-2.252386,-4.389383,0.18529,-0.08766,-1.489946,-0.30773,6.860948,0.915715,-0.026635,3.605628,-0.750869,-1.327885,-0.00211,-4.281097,1.50496
hsa_piR_013624_DQ588594,-0.8341,-0.164329,-1.68197,0.185681,-0.552479,-0.670605,4.720357,0.244543,2.843542,0.231626,1.896247,0.259724,0.110754,-0.305273,4.577911,-0.667423,-5.488918,0.576839,-4.438158,-0.619229,-1.021426,1.040769,0.330752,1.016434,0.2837,2.36624,-0.198602,-0.00211,3.857302,3.826888
hsa_piR_013745_DQ588779,-1.949578,1.385868,1.684352,-1.082808,5.732923,1.246933,-0.274957,1.763917,0.683078,5.786215,1.770716,0.325312,-1.827846,2.279689,0.754413,-1.85744,-3.389383,-1.069524,-1.066902,0.214761,1.014198,-0.892117,1.278285,0.835862,-0.018862,4.567873,-1.024572,1.13034,0.759527,2.565989
hsa_piR_014620_DQ590013,-0.8341,-0.122909,0.546848,-2.036711,-0.441448,-0.670605,-0.839905,1.015061,-1.215351,1.009233,-3.911108,-2.158589,0.035652,-0.305273,1.023322,3.332577,-0.582028,0.045953,0.649305,0.146306,-0.30773,-5.207159,-0.74725,-0.635643,-0.648281,-5.978056,-2.47871,-0.00211,0.612927,-0.080003
hsa_piR_014959_DQ590455,0.487828,4.420633,-1.097008,0.185681,-0.552479,-0.670605,-2.894353,1.888399,2.140524,0.231626,6.419809,-0.00331,-4.589686,1.279689,1.78859,-3.51542,-1.582028,0.515438,-4.257585,-0.619229,-0.30773,3.362697,-0.406213,2.016434,5.328094,0.044312,5.193716,-0.00211,-1.4281,1.834268
hsa_piR_015026_DQ590548,0.662325,-1.08039,-0.437371,0.712894,0.036621,0.517172,0.198669,-0.034384,-1.139078,0.701598,-1.058401,1.554501,-0.558229,-1.715649,-0.44981,0.137995,-1.400103,-1.145647,1.207968,0.619681,-0.240359,0.046782,0.058828,0.527934,-0.49332,1.16644,2.25582,-0.37568,1.463603,-0.475931
hsa_piR_015150_DQ590704,-2.138955,-0.344901,1.22492,-0.136247,-0.815513,-4.758068,-0.026991,3.49247,-0.230458,0.711619,2.818245,2.745151,0.240037,-0.305273,-0.614972,-2.575631,-0.582028,0.515438,-4.105582,0.151289,-0.525321,-2.106073,2.178749,2.238826,-1.367452,-0.63376,0.708289,1.546783,-0.470535,4.680218
hsa_piR_015249_DQ590830,-0.882463,1.359233,0.308134,-0.372009,-0.263681,-0.889029,0.199361,-0.792216,0.219586,0.753578,0.252391,1.598526,0.629627,-1.388689,-0.436956,-0.465115,-0.117817,0.515438,-1.517989,0.022317,0.053825,-0.952474,0.855094,-0.012135,0.098345,-1.400765,-0.886658,0.040775,-2.58548,-0.216505
hsa_piR_015800_DQ591595,-2.641455,0.309602,1.340397,-0.399281,3.534984,5.929308,0.515931,2.102524,3.592004,5.517028,2.896247,0.559284,-1.407095,2.279689,-0.17749,-1.768961,-3.751953,0.225932,-0.886748,-1.552115,-0.437791,1.140304,3.681249,0.168437,-1.010031,4.131774,-1.198602,-0.00211,0.248011,3.416423
hsa_piR_015836_DQ591644,-2.036917,-0.164329,0.568125,-0.317817,0.412332,-0.670605,3.629209,0.635002,0.521614,-0.64973,5.066172,0.259724,0.110754,3.502082,-1.150009,-0.937263,4.275953,-0.129231,-0.441843,-0.52557,-0.30773,-0.231484,2.160133,0.335502,0.2837,-0.413539,-2.64112,-0.282218,-1.893763,1.670019
hsa_piR_016240_DQ592148,-1.034038,2.643026,-1.833974,2.770644,3.491915,-4.670605,-1.651082,-2.951855,-1.215351,2.553554,3.896247,-1.359186,-2.696601,-1.7907,-1.150009,2.683074,4.703375,2.672979,0.649305,-2.875569,-2.378119,-3.129156,-2.918112,-2.153491,1.05629,-6.955688,2.123326,-1.417148,-3.026359,-3.080003
hsa_piR_016374_DQ592313,-0.8341,4.005596,-1.097008,0.185681,-0.552479,-0.670605,5.353574,3.119012,0.521614,0.231626,1.896247,-3.440716,0.110754,-0.305273,-1.150009,-0.667423,-0.582028,0.515438,0.649305,-0.619229,-0.30773,3.040769,-0.406213,-3.231494,0.2837,2.851666,-0.198602,-0.00211,0.00486,5.826888
hsa_piR_016658_DQ592931,0.297641,0.569056,0.151813,0.421309,0.706859,0.087752,0.787172,0.137627,0.473573,0.024086,-0.071452,-1.65318,-1.168491,-1.971156,0.947412,0.970007,-1.057366,-0.768264,-0.743497,0.412735,0.992598,-0.073799,1.23923,-0.739623,0.016796,0.311996,-1.600208,0.641459,0.928594,-0.45576
hsa_piR_016659_DQ592932,0.653364,0.928935,0.389652,0.88025,0.60146,0.788826,0.400618,0.64395,0.764103,-0.356975,0.288254,-1.121053,-0.609561,-1.71053,0.494915,0.735369,-0.318993,-0.394486,-0.114352,0.190466,1.064365,-0.001585,0.621094,-0.644804,0.048752,0.993623,0.072359,0.691228,0.907132,0.02997
hsa_piR_016660_DQ592933,0.236289,-0.164329,-4.55644,0.185681,5.617446,-0.670605,-8.123172,-4.156337,0.521614,5.846336,1.896247,0.259724,0.110754,5.422647,3.019916,-0.667423,-0.582028,4.996565,0.649305,-2.596509,-7.00817,-2.959231,-0.406213,-4.112849,0.2837,0.044312,-0.198602,-0.00211,-7.820417,-0.080003
