Probes,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G114,G117,G119,G120,G126,G128,G130,G302,G303,G304,G305,G306,G311,G313,G314,G315,G317,G322,G324,G332,G336,G337,G347,G358
CWC25,-0.240692279,-0.076898147,0.174314023,0.70461839,-0.064739751,-0.004923872,0.099644858,0.5615679,0.221641641,0.247828407,0.319945732,0.231367137,0.205551803,0.623027483,0.213982747,0.079483936,0.401420364,-0.143737236,0.664005187,0.143983005,0.558459293,-0.490374737,-0.190332971,-0.037202393,0.587238515,0.144061007,0.47715681,0.273433365,0.836689002,1.112467697,0.725507966,0.573726834,-0.244933581,0.413347805
CYBASC3,0.11907334,-0.712801274,-0.545340497,-0.528129301,0.089131293,0.261509088,-0.310517276,-0.149850002,-0.317224867,-1.153958481,-0.595821087,-0.471628885,0.35962274,-0.824426391,-0.750588839,-0.352180107,-1.064921915,-0.418577094,-0.738388997,0.248932835,0.518646593,-0.633316521,0.839548501,-0.363385654,-0.495163792,-0.310845566,0.032596497,0.587577367,-0.477647646,0.131211666,-0.92433357,-0.216550944,-0.249533082,-0.884106414
DAGLB,0.027777563,0.087953474,-0.628140473,-1.020682483,-0.583846951,-0.328652094,0.000733525,0.529355804,0.362734953,-1.590841714,-1.1965515,0.362219957,-0.194148069,-0.522681061,-0.169744073,-1.118436369,-0.618770301,-0.127188154,-1.829014859,0.205157966,-0.243505243,-0.28734551,0.372737661,0.231260517,-1.032128606,-0.959582536,-0.035623056,-0.220467481,-0.570721798,-1.072934493,-0.587891267,-0.785939382,0.237462585,-1.203421218
DCAF16,-0.788895537,-0.619794403,-0.478441783,-0.233719065,-0.047063638,-0.213254516,-0.475619092,-1.19364926,-0.60941974,0.815759239,0.349527382,-0.36574665,-0.351067376,-0.114967453,-0.345368024,0.042025735,0.164942373,-0.557977846,0.28124618,-0.558019705,-0.082521225,0.118810355,-0.665785398,-0.532070604,-0.216944072,0.090828472,-0.793916522,-0.822678678,-1.231725758,0.182514127,-1.870942004,-0.270915792,-0.506217212,-0.357957999
DDX39A,0.890305962,0.31530594,0.36967608,-0.007103118,0.39091852,0.601106014,0.052083343,1.167360977,0.648181469,1.650254223,-0.238926744,1.469099806,0.333116843,-0.222384059,0.222111499,-0.014253021,-0.969037535,-0.096120656,-0.647505453,0.51251853,0.085182805,-0.438439442,0.660473521,0.535739728,2.223820539,-0.276130909,1.697305523,0.564772486,0.15657498,-0.308178457,0.279021266,0.62402663,0.099768717,-0.718310719
DDX59,0.593069716,-0.152453535,0.214877011,0.196734571,-0.309213682,-0.140015395,-0.066073792,-0.250724562,0.017258986,-0.548793001,0.262427465,-0.289551454,0.145063247,0.131908824,0.332152518,0.50537821,-0.729386222,0.16873883,-0.386289841,0.10139796,-0.161596242,-0.240995587,0.336841759,0.142228977,-0.196234405,0.004791249,0.260080478,-0.211250003,-0.470912768,0.016222711,0.137525544,0.167477906,0.31112187,0.044606057
DGKD,-0.670051128,-1.109424854,-0.510690423,-0.382207745,-0.31185262,-0.645415639,-0.634098142,-0.777927763,-0.924514079,-0.675985791,-0.435476972,-0.641443749,-0.702720673,-0.397055755,-0.556054574,-0.265585132,0.117513369,-0.641171146,0.29804239,-0.388468941,-0.185144507,-0.393351969,-0.752578446,-0.892002197,-0.785892199,-0.444053116,-1.239846927,-0.503273664,-0.59157036,-0.60973047,-0.617484066,-0.84988095,-1.322323178,0.270081492
DIDO1,-1.137125571,-0.395235502,-0.163802673,-0.769281052,-0.301413663,-0.614323118,0.458703918,-0.048539117,-0.692834282,0.856453168,0.241064162,-0.623417826,-0.74283861,0.296339305,-0.177583683,0.175438134,0.80949093,-0.573460773,0.694487464,-0.825314118,-0.394735729,0.209013204,-0.413931294,-1.161951473,0.597126312,-0.107459886,-0.228839148,-0.835811515,0.601951386,0.367932035,-1.520418571,-0.278644586,-0.550896731,0.063543082
DKC1,0.217027174,-0.185410143,-0.843977295,-0.589870811,-0.619213306,0.475687869,-0.822223049,-0.796148113,0.017257715,0.213908655,0.039181983,-0.513947925,-0.514802616,-0.921542239,-0.54159995,-0.150428587,-1.589070386,0.012828003,-1.44873418,0.051776937,0.112495705,-0.712488402,-0.051300184,-0.58240282,0.118386558,-0.577476211,0.030680132,0.081889139,-1.576801416,-1.077646666,-1.294561336,-0.570981732,-0.88494865,-0.371030824
DLST,-0.052719044,0.565062734,-0.500654073,-0.033015343,-0.277827854,-0.186150723,-0.345056959,-0.47570129,-0.1258205,-1.147589099,-0.331622141,-0.181966297,0.047010995,-0.576331656,-0.563240954,0.013473601,-1.106278308,0.171129173,-0.979727176,-0.265783182,-0.071662398,0.065353613,0.520769077,0.419318212,-1.108125862,-0.550842733,-0.21986377,0.319216989,-1.054271463,-0.387525719,-0.234438046,0.158397072,-0.662280693,-0.190298641
DYNLL2,0.937915148,-0.328214999,-0.538471299,0.080605852,-0.345375953,0.291849885,-0.247396489,-0.299442606,-0.334875877,-0.493657593,-0.456603442,0.340671616,-0.434396351,-0.469700862,-0.035753904,0.095629382,-1.096059654,0.07602007,-1.74879098,0.016551717,0.357510005,-0.06319506,0.115989378,-0.3267224,-0.331664738,0.008092509,-0.367728781,0.613446168,-1.095785102,-0.693200796,-0.287531459,0.023488798,-0.200701961,0.034562483
EARS2,0.612561016,-0.038366173,-0.703049907,-0.466572272,1.138927779,0.640387958,-0.296188651,-0.348055719,0.31149995,-1.030677987,-0.286797692,0.394222423,0.154769321,-0.783388221,0.092275577,0.095367441,-0.237943295,0.446704432,-1.557262196,0.936486431,-0.150142537,0.182692526,-0.261591819,-0.705229236,-0.334007668,-0.258123183,-0.559451727,-0.046585202,-1.238681968,-0.572426684,-1.000750859,0.1690736,-1.035332911,-0.776859383
ECD,0.46424702,-0.1577982,0.136674462,0.526314023,-0.038500565,-0.177604755,-0.223120533,-0.654672762,-0.163139014,0.133726888,-0.484294348,0.350055042,-0.179755022,0.226643286,-0.651275233,-0.091883023,-1.108714548,-0.065075141,-1.562728036,0.054783704,-0.184793806,0.296990268,0.180880719,-0.169810344,-0.108517557,-0.019329444,-0.264424076,0.140533683,-1.142300857,-0.953171962,-0.261484073,0.231297897,-0.400269982,-0.576651995
EFTUD2,0.532862086,0.599395511,-0.224633845,0.540782764,-0.66983592,-0.076852566,0.0407404,-0.186207944,0.376793996,-0.546425216,-0.077477551,0.254413134,0.116965398,-0.139099014,-0.036050516,0.03336139,-0.980093423,0.236934105,-0.958053038,0.079157627,0.081298573,-0.438382885,0.406308942,-0.44181285,-0.609003518,-0.298424406,-0.29941326,0.474828279,-0.731209199,-0.150845622,-0.761080065,-0.092154621,-1.281294729,-0.417104561
EI24,0.4007635,0.183688455,-0.246421739,-0.148416029,0.221590941,-0.387925743,-0.095708542,-0.197304359,-0.284838811,0.600639806,-0.145542893,0.596291322,-0.184140566,-0.214518031,-0.331254183,-0.627440884,-0.864228929,0.306068979,-0.387495776,-0.289914703,-0.508440658,0.478508034,-0.376921483,-0.570779443,-0.278454262,-0.80153254,-0.590462361,-0.433877687,-1.224545345,-0.86142109,-1.379558278,-0.13102784,-0.319623231,-0.784154087
EIF1AX,0.182577396,-0.136184278,0.162910955,0.053813789,-0.037202588,-0.235507034,-0.287673377,-0.465288522,-0.100314057,0.567364002,-0.181065659,-0.960438743,0.714110603,-0.007483588,-0.706313895,0.324304205,0.450180601,0.021069166,0.473696625,-0.168151562,-0.245618551,-0.035396339,0.367327706,0.292420769,-0.595747372,-0.125509039,-0.228422147,-0.209928228,0.976021241,-0.054112978,0.43089124,-0.402612884,0.808823542,0.449325607
EIF2B1,-0.044215801,0.566811537,0.055089973,0.091388735,-0.239442789,0.244511737,-0.16942092,-0.165612773,0.38034784,0.523104739,0.264773165,0.006986064,0.071228166,0.058962176,0.211627795,-0.805747214,-0.756057439,0.206285722,-0.489240541,-0.155090296,0.189407684,-0.173638595,-0.055596045,-0.008274085,0.013538534,-0.232267588,0.261215639,-0.048803065,-0.724890555,-0.385687699,-0.641186744,-0.101762503,0.145367757,-0.200297373
EPS15L1,-1.075895201,-0.742831948,-0.548701069,-0.798879038,0.09600722,-0.636705423,-0.001788894,0.610510739,-0.502155398,-0.136151486,-0.195406647,-0.582928707,-0.748044671,0.025344468,-0.516236078,-0.027667293,0.384643944,-0.598474458,0.402592969,-0.019976552,-0.227445978,-0.697917617,-0.912563079,-0.407781571,-0.103968555,-0.400187881,-0.592390119,-0.432545843,0.343502057,-0.019943647,0.770385582,-0.350343991,-0.950525035,1.178522966
ERCC6,0.401584869,-0.24194973,-0.850863155,-0.516108493,-0.713153189,-0.494019595,-0.496642419,-1.310877832,-0.972812179,-1.085174263,-1.01224801,-0.046893799,-0.415450072,-0.098627813,-0.186373019,-0.253008768,-1.634977595,-0.070555178,-1.542880891,0.225932669,-0.400095034,-0.034016353,-0.510007042,-0.989398373,-1.026363025,-0.762839513,-0.352700915,0.300505986,-1.328670398,-0.722873465,-1.082358823,-0.760230147,-0.80839762,-1.193680631
ERLIN2,-0.48647769,0.776643585,0.282491164,-0.090621662,-0.441248819,-0.865956352,-0.285711364,-0.366980965,-0.093458992,-0.543463894,0.114205024,0.145614488,0.785135191,-0.270381102,0.71589221,0.11370795,-0.700844794,-0.113342432,-0.740360213,-0.90914662,-0.216913934,-0.357898719,0.041716725,0.411026374,-0.744001748,-0.123620152,0.384023923,0.470765213,-0.150901913,-0.063643533,-1.246755701,0.180990565,-0.0448309,-0.696580659
